dataset,attribute,group,algorithm,set,iterations,error,classifier_type,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
Law School Admission Bar Passage,race1,asian,nan,Test,0,False,Surrogate,asian,8.655,5.788,5.758,2.461,2.461,5.758,0.013,0.820,0.897,0.761
Law School Admission Bar Passage,race1,asian,Massaging,Test,1,False,Surrogate,asian,0.746,0.264,0.318,1.743,1.743,0.318,0.009,0.638,0.766,0.744
Law School Admission Bar Passage,race1,asian,Massaging,Test,2,False,Surrogate,asian,0.746,0.264,0.318,1.743,1.743,0.318,0.009,0.638,0.766,0.744
Law School Admission Bar Passage,race1,asian,Reweighing,Test,1,False,Surrogate,asian,26359.608,11.994,13.365,2.191,2.191,13.365,0.004,0.113,0.122,0.517
Law School Admission Bar Passage,race1,asian,Reweighing,Test,2,False,Surrogate,asian,8215.869,6.522,7.293,2.004,2.004,7.293,0.009,0.331,0.408,0.612
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,1,False,Surrogate,asian,74247.937,13.338,14.755,2.962,2.962,14.755,0.001,0.087,0.077,0.505
Law School Admission Bar Passage,race1,asian,DisparateImpactRemover,Test,2,False,Surrogate,asian,74247.937,13.338,14.755,2.962,2.962,14.755,0.001,0.087,0.077,0.505
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,122336.121,9.407,10.208,3.036,3.036,10.208,0.009,0.439,0.466,0.622
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,122336.823,9.625,10.422,3.168,3.168,10.422,0.010,0.429,0.458,0.616
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,asian,9.096,6.762,6.576,5.119,5.119,6.576,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,asian,9.096,6.762,6.576,5.119,5.119,6.576,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,asian,914498.833,3.760,4.021,2.848,2.848,4.021,0.008,0.662,0.717,0.615
Law School Admission Bar Passage,race1,black,nan,Test,0,False,Surrogate,black,18.037,12.687,12.073,3.269,3.269,12.073,0.013,0.820,0.897,0.761
Law School Admission Bar Passage,race1,black,Massaging,Test,1,False,Surrogate,black,0.550,0.510,0.256,0.650,0.650,0.256,0.007,0.931,0.964,0.604
Law School Admission Bar Passage,race1,black,Massaging,Test,2,False,Surrogate,black,0.550,0.510,0.256,0.650,0.650,0.256,0.007,0.931,0.964,0.604
Law School Admission Bar Passage,race1,black,Reweighing,Test,1,False,Surrogate,black,377.395,0.344,0.546,0.060,0.060,0.546,0.001,0.084,0.071,0.505
Law School Admission Bar Passage,race1,black,Reweighing,Test,2,False,Surrogate,black,436.610,0.459,0.696,0.088,0.088,0.696,0.001,0.087,0.077,0.505
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,1,False,Surrogate,black,266.782,0.245,0.392,0.046,0.046,0.392,0.001,0.083,0.069,0.503
Law School Admission Bar Passage,race1,black,DisparateImpactRemover,Test,2,False,Surrogate,black,266.782,0.245,0.392,0.046,0.046,0.392,0.001,0.083,0.069,0.503
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,133.404,0.152,0.254,0.051,0.051,0.254,0.001,0.085,0.073,0.500
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,133.404,0.152,0.254,0.051,0.051,0.254,0.001,0.085,0.073,0.500
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,black,18.093,14.078,13.240,6.359,6.359,13.240,0.011,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,black,18.093,14.078,13.240,6.359,6.359,13.240,0.011,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,black,36.418,2.552,2.014,2.530,2.530,2.014,0.008,0.662,0.717,0.615
Law School Admission Bar Passage,race1,hisp,nan,Test,0,False,Surrogate,hisp,5.855,3.909,3.541,1.318,1.318,3.541,0.013,0.820,0.897,0.761
Law School Admission Bar Passage,race1,hisp,Massaging,Test,1,False,Surrogate,hisp,2.900,1.790,1.474,0.563,0.563,1.474,0.018,0.799,0.883,0.773
Law School Admission Bar Passage,race1,hisp,Massaging,Test,2,False,Surrogate,hisp,2.900,1.790,1.474,0.563,0.563,1.474,0.018,0.799,0.883,0.773
Law School Admission Bar Passage,race1,hisp,Reweighing,Test,1,False,Surrogate,hisp,62.638,0.085,0.125,0.040,0.040,0.125,0.002,0.087,0.077,0.506
Law School Admission Bar Passage,race1,hisp,Reweighing,Test,2,False,Surrogate,hisp,231.050,0.349,0.469,0.097,0.097,0.469,0.002,0.090,0.084,0.505
Law School Admission Bar Passage,race1,hisp,DisparateImpactRemover,Test,1,False,Surrogate,hisp,30.000,0.040,0.041,0.036,0.036,0.041,0.001,0.082,0.068,0.504
Law School Admission Bar Passage,race1,hisp,DisparateImpactRemover,Test,2,False,Surrogate,hisp,30.000,0.040,0.041,0.036,0.036,0.041,0.001,0.082,0.068,0.504
Law School Admission Bar Passage,race1,hisp,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,hisp,29.141,0.146,0.132,0.078,0.078,0.132,0.002,0.109,0.098,0.512
Law School Admission Bar Passage,race1,hisp,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,hisp,29.487,0.116,0.111,0.123,0.123,0.111,0.005,0.094,0.086,0.505
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,hisp,4.622,3.366,2.882,2.356,2.356,2.882,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,hisp,4.622,3.366,2.882,2.356,2.356,2.882,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,hisp,22.832,0.578,0.540,0.723,0.723,0.540,0.008,0.662,0.717,0.615
Law School Admission Bar Passage,race1,other,nan,Test,0,False,Surrogate,other,1.311,0.846,0.732,1.764,1.764,0.732,0.013,0.820,0.897,0.761
Law School Admission Bar Passage,race1,other,Massaging,Test,1,False,Surrogate,other,53.296,0.655,0.838,0.070,0.070,0.838,0.008,0.178,0.239,0.547
Law School Admission Bar Passage,race1,other,Massaging,Test,2,False,Surrogate,other,53.296,0.655,0.838,0.070,0.070,0.838,0.008,0.178,0.239,0.547
Law School Admission Bar Passage,race1,other,Reweighing,Test,1,False,Surrogate,other,30.000,0.034,0.035,0.022,0.022,0.035,0.002,0.081,0.065,0.506
Law School Admission Bar Passage,race1,other,Reweighing,Test,2,False,Surrogate,other,29.803,0.049,0.057,0.043,0.043,0.057,0.003,0.102,0.099,0.514
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,1,False,Surrogate,other,30.000,0.029,0.031,0.016,0.016,0.031,0.002,0.079,0.061,0.507
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,other,30.000,0.029,0.031,0.016,0.016,0.031,0.002,0.079,0.061,0.507
Law School Admission Bar Passage,race1,other,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,other,25.224,0.174,0.148,0.322,0.322,0.148,0.004,0.204,0.203,0.547
Law School Admission Bar Passage,race1,other,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,other,25.224,0.174,0.148,0.322,0.322,0.148,0.004,0.204,0.203,0.547
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,other,0.793,0.552,0.493,2.235,2.235,0.493,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,other,0.793,0.552,0.493,2.235,2.235,0.493,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,other,21.065,0.174,0.196,0.896,0.896,0.196,0.008,0.662,0.717,0.615
Law School Admission Bar Passage,race1,white,nan,Test,0,False,Surrogate,white,63.253,8.180,7.220,4.857,4.857,7.220,0.013,0.820,0.897,0.761
Law School Admission Bar Passage,race1,white,Massaging,Test,1,False,Surrogate,white,0.810,0.154,0.364,0.293,0.293,0.364,0.017,0.412,0.554,0.659
Law School Admission Bar Passage,race1,white,Massaging,Test,2,False,Surrogate,white,0.810,0.154,0.364,0.293,0.293,0.364,0.017,0.412,0.554,0.659
Law School Admission Bar Passage,race1,white,Reweighing,Test,1,False,Surrogate,white,0.602,0.112,0.293,0.252,0.252,0.293,0.016,0.417,0.559,0.661
Law School Admission Bar Passage,race1,white,Reweighing,Test,2,False,Surrogate,white,0.225,0.039,0.065,0.159,0.159,0.065,0.018,0.476,0.621,0.686
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,white,0.810,0.154,0.364,0.293,0.293,0.364,0.017,0.412,0.554,0.659
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,white,0.810,0.154,0.364,0.293,0.293,0.364,0.017,0.412,0.554,0.659
Law School Admission Bar Passage,race1,white,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,white,13.551,4.512,5.311,1.902,1.902,5.311,0.019,0.358,0.461,0.596
Law School Admission Bar Passage,race1,white,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,white,13.551,4.512,5.311,1.902,1.902,5.311,0.019,0.358,0.461,0.596
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,white,56.377,8.535,7.352,9.464,9.464,7.352,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,MulticlassLexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,white,56.377,8.535,7.352,9.464,9.464,7.352,0.012,0.852,0.917,0.731
Law School Admission Bar Passage,race1,race1,FairGenes,Test,1,False,Surrogate,white,7.917,1.307,1.162,2.189,2.189,1.162,0.008,0.662,0.717,0.615
