dataset,sensitive_attribute,intervention_attribute,algorithm,model,Label,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,NA,NA,RandomForestClassifier,Amer-Indian-Eskimo,0.2948,0.8474,0.3804,0.0676,0.9344,0.6305,0.9375,"[6440, 759, 1036, 1289]",0.8115,0.5895,0.5544,0.6294,0.4694,0.5544,0.8946
,,,,,Asian-Pac-Islander,1.3432,0.927,-0.0438,-0.028,0.9703,0.9566,0.9375,,,,,,,,
,,,,,Black,0.4426,0.8733,0.0854,0.0608,0.9394,0.9181,0.9375,,,,,,,,
,,,,,Other,0.1957,0.8261,0.3048,0.0762,0.9251,0.6951,0.9375,,,,,,,,
,,,,,White,1.6844,0.9072,-0.0534,-0.0487,0.9509,0.9448,0.9375,,,,,,,,
,,,,,Average,0.7921,0.8762,0.1347,0.0256,0.944,0.829,0.9375,,,,,,,,
,,,,,Std,0.6042,0.0371,0.1783,0.0528,0.0156,0.1378,0.0,,,,,,,,
Adult Income,sex,NA,NA,RandomForestClassifier,Female,0.2862,0.7995,0.1551,0.1066,0.8936,0.8459,0.9344,"[6454, 745, 1022, 1303]",0.8145,0.5959,0.5604,0.6362,0.4778,0.5604,0.8965
,,,,,Male,3.4938,0.7995,-0.1551,-0.1066,0.8936,0.8459,0.9344,,,,,,,,
,,,,,Average,1.89,0.7995,0.0,0.0,0.8936,0.8459,0.9344,,,,,,,,
,,,,,Std,1.6038,0.0,0.1551,0.1066,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.2988,0.8503,0.2608,0.0901,0.9106,0.7577,0.9383,"[6465, 734, 1039, 1286]",0.8138,0.5919,0.5531,0.6366,0.4741,0.5531,0.898
,,,,,Asian-Pac-Islander,1.3311,0.9305,-0.0651,-0.012,0.9872,0.9341,0.9383,,,,,,,,
,,,,,Black,0.4687,0.8812,0.0465,0.0556,0.9447,0.9494,0.9383,,,,,,,,
,,,,,Other,0.2641,0.8431,0.3035,0.0577,0.9444,0.6964,0.9383,,,,,,,,
,,,,,White,1.6304,0.9132,-0.0187,-0.0495,0.951,0.9807,0.9383,,,,,,,,
,,,,,Average,0.7986,0.8837,0.1054,0.0284,0.9476,0.8637,0.9383,,,,,,,,
,,,,,Std,0.5692,0.0341,0.1492,0.0512,0.0244,0.1142,0.0,,,,,,,,
Adult Income,sex,race,Reweighing,RandomForestClassifier,Female,0.2898,0.8008,0.1385,0.1084,0.8917,0.8628,0.9369,"[6448, 751, 1028, 1297]",0.8132,0.5932,0.5578,0.6333,0.4742,0.5578,0.8957
,,,,,Male,3.4502,0.8008,-0.1385,-0.1084,0.8917,0.8628,0.9369,,,,,,,,
,,,,,Average,1.87,0.8008,0.0,0.0,0.8917,0.8628,0.9369,,,,,,,,
,,,,,Std,1.5802,0.0,0.1385,0.1084,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.2487,0.8393,0.3788,0.0777,0.9237,0.6323,0.9399,"[6461, 738, 1040, 1285]",0.8133,0.5911,0.5527,0.6352,0.4728,0.5527,0.8975
,,,,,Asian-Pac-Islander,1.3134,0.9341,-0.0555,-0.0115,0.9878,0.9442,0.9399,,,,,,,,
,,,,,Black,0.4437,0.8751,0.1122,0.0548,0.9454,0.8899,0.9399,,,,,,,,
,,,,,Other,0.198,0.8287,0.3031,0.0733,0.928,0.6968,0.9399,,,,,,,,
,,,,,White,1.7088,0.9063,-0.061,-0.0483,0.9513,0.9367,0.9399,,,,,,,,
,,,,,Average,0.7825,0.8767,0.1355,0.0292,0.9472,0.82,0.9399,,,,,,,,
,,,,,Std,0.6134,0.0397,0.1805,0.0502,0.0228,0.1299,0.0,,,,,,,,
Adult Income,sex,race,Reweighing,RandomForestClassifier,Female,0.291,0.8041,0.1432,0.1026,0.8976,0.8583,0.9374,"[6479, 720, 1026, 1299]",0.8167,0.5981,0.5587,0.6434,0.4821,0.5587,0.9
,,,,,Male,3.4366,0.8041,-0.1432,-0.1026,0.8976,0.8583,0.9374,,,,,,,,
,,,,,Average,1.8638,0.8041,0.0,0.0,0.8976,0.8583,0.9374,,,,,,,,
,,,,,Std,1.5728,0.0,0.1432,0.1026,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.2488,0.8394,0.2653,0.1019,0.8981,0.7534,0.9375,"[6473, 726, 1029, 1296]",0.8157,0.5963,0.5574,0.6409,0.4796,0.5574,0.8992
,,,,,Asian-Pac-Islander,1.3298,0.9307,-0.0504,-0.0182,0.9809,0.9492,0.9375,,,,,,,,
,,,,,Black,0.4975,0.8879,0.0507,0.0463,0.9543,0.9449,0.9375,,,,,,,,
,,,,,Other,0.2638,0.8429,0.3081,0.0565,0.9456,0.6921,0.9375,,,,,,,,
,,,,,White,1.58,0.9177,-0.0284,-0.0413,0.9585,0.971,0.9375,,,,,,,,
,,,,,Average,0.784,0.8837,0.1091,0.029,0.9475,0.8621,0.9375,,,,,,,,
,,,,,Std,0.5605,0.0374,0.1495,0.052,0.0273,0.1158,0.0,,,,,,,,
Adult Income,sex,race,Reweighing,RandomForestClassifier,Female,0.2899,0.8075,0.1307,0.104,0.896,0.8704,0.9356,"[6480, 719, 1064, 1261]",0.8128,0.5858,0.5424,0.6369,0.4684,0.5424,0.9001
,,,,,Male,3.4491,0.8075,-0.1307,-0.104,0.896,0.8704,0.9356,,,,,,,,
,,,,,Average,1.8695,0.8075,0.0,0.0,0.896,0.8704,0.9356,,,,,,,,
,,,,,Std,1.5796,0.0,0.1307,0.104,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.2471,0.8379,0.3253,0.0907,0.9101,0.6896,0.9375,"[6461, 738, 1027, 1298]",0.8147,0.5953,0.5583,0.6375,0.4775,0.5583,0.8975
,,,,,Asian-Pac-Islander,1.3515,0.9257,-0.0294,-0.036,0.9622,0.9712,0.9375,,,,,,,,
,,,,,Black,0.4312,0.8714,0.1083,0.0575,0.9427,0.894,0.9375,,,,,,,,
,,,,,Other,0.262,0.8414,0.3089,0.0582,0.9439,0.6912,0.9375,,,,,,,,
,,,,,White,1.6917,0.9071,-0.0669,-0.0453,0.9544,0.9305,0.9375,,,,,,,,
,,,,,Average,0.7967,0.8767,0.1292,0.025,0.9427,0.8353,0.9375,,,,,,,,
,,,,,Std,0.605,0.0349,0.1642,0.055,0.0178,0.1208,0.0,,,,,,,,
Adult Income,sex,race,Reweighing,RandomForestClassifier,Female,0.2951,0.8051,0.1356,0.1038,0.8963,0.8658,0.9367,"[6466, 733, 1034, 1291]",0.8145,0.5937,0.5553,0.6378,0.4761,0.5553,0.8982
,,,,,Male,3.3885,0.8051,-0.1356,-0.1038,0.8963,0.8658,0.9367,,,,,,,,
,,,,,Average,1.8418,0.8051,0.0,0.0,0.8963,0.8658,0.9367,,,,,,,,
,,,,,Std,1.5467,0.0,0.1356,0.1038,0.0,0.0,0.0,,,,,,,,
Adult Income,race,race,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.3527,0.8633,0.2591,0.0748,0.9266,0.7594,0.9383,"[6482, 717, 1043, 1282]",0.8152,0.593,0.5514,0.6413,0.4766,0.5514,0.9004
,,,,,Asian-Pac-Islander,1.3614,0.925,-0.0668,-0.0194,0.9796,0.9323,0.9383,,,,,,,,
,,,,,Black,0.4787,0.8848,0.0638,0.0489,0.9515,0.9312,0.9383,,,,,,,,
,,,,,Other,0.2668,0.8453,0.3019,0.0553,0.9468,0.6981,0.9383,,,,,,,,
,,,,,White,1.5772,0.9189,-0.0262,-0.0409,0.9589,0.9728,0.9383,,,,,,,,
,,,,,Average,0.8074,0.8875,0.1064,0.0237,0.9527,0.8588,0.9383,,,,,,,,
,,,,,Std,0.5489,0.0309,0.149,0.0453,0.0172,0.1089,0.0,,,,,,,,
Adult Income,sex,race,Reweighing,RandomForestClassifier,Female,0.2958,0.8072,0.1119,0.1051,0.8949,0.8873,0.9358,"[6478, 721, 1042, 1283]",0.8149,0.5927,0.5518,0.6402,0.476,0.5518,0.8998
,,,,,Male,3.3802,0.8072,-0.1119,-0.1051,0.8949,0.8873,0.9358,,,,,,,,
,,,,,Average,1.838,0.8072,0.0,0.0,0.8949,0.8873,0.9358,,,,,,,,
,,,,,Std,1.5422,0.0,0.1119,0.1051,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Amer-Indian-Eskimo,0.3168,0.8579,0.3593,0.045,0.9523,0.6321,0.9596,"[9895, 895, 1440, 2057]",0.8366,0.6379,0.5882,0.6968,0.5366,0.5882,0.9171
,,,,,Asian-Pac-Islander,1.3942,0.9195,-0.0601,-0.0643,0.9365,0.9365,0.9596,,,,,,,,
,,,,,Black,0.6436,0.9238,-0.0009,0.0153,0.9845,0.9948,0.9596,,,,,,,,
,,,,,Other,0.5813,0.9132,0.0886,0.0147,0.9842,0.9114,0.9596,,,,,,,,
,,,,,White,1.3139,0.9489,-0.0001,-0.0032,0.9969,0.9991,0.9596,,,,,,,,
,,,,,Average,0.85,0.9127,0.0774,0.0015,0.9709,0.8948,0.9596,,,,,,,,
,,,,,Std,0.4267,0.0299,0.1488,0.0364,0.0227,0.1356,0.0,,,,,,,,
Adult Income,race,sex,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.365,0.8704,0.2385,0.0721,0.9293,0.7798,0.939,"[6501, 698, 1090, 1235]",0.8123,0.5801,0.5312,0.6389,0.4638,0.5312,0.903
,,,,,Asian-Pac-Islander,1.3275,0.9342,-0.0476,-0.0172,0.9821,0.9534,0.939,,,,,,,,
,,,,,Black,0.4503,0.8822,0.061,0.0552,0.9448,0.9424,0.939,,,,,,,,
,,,,,Other,0.4148,0.8808,0.0314,0.0376,0.9652,0.9688,0.939,,,,,,,,
,,,,,White,1.6263,0.9172,-0.0229,-0.0454,0.9548,0.9753,0.939,,,,,,,,
,,,,,Average,0.8368,0.897,0.0521,0.0205,0.9552,0.9239,0.939,,,,,,,,
,,,,,Std,0.5318,0.0244,0.1008,0.0445,0.0179,0.073,0.0,,,,,,,,
Adult Income,sex,sex,Reweighing,RandomForestClassifier,Female,0.3394,0.8281,0.0766,0.0886,0.9114,0.9232,0.9347,"[6504, 695, 1079, 1246]",0.8137,0.5842,0.5359,0.6419,0.4685,0.5359,0.9035
,,,,,Male,2.9468,0.8281,-0.0766,-0.0886,0.9114,0.9232,0.9347,,,,,,,,
,,,,,Average,1.6431,0.8281,0.0,0.0,0.9114,0.9232,0.9347,,,,,,,,
,,,,,Std,1.3037,0.0,0.0766,0.0886,0.0,0.0,0.0,,,,,,,,
Adult Income,race,sex,Reweighing,RandomForestClassifier,Amer-Indian-Eskimo,0.4689,0.8916,0.241,0.0457,0.9571,0.7776,0.9378,"[6504, 695, 1085, 1240]",0.8131,0.5822,0.5333,0.6408,0.4663,0.5333,0.9035
,,,,,Asian-Pac-Islander,1.409,0.918,-0.0756,-0.0275,0.9713,0.924,0.9378,,,,,,,,
,,,,,Black,0.4648,0.8853,0.0445,0.0534,0.9466,0.9501,0.9378,,,,,,,,
,,,,,Other,0.3451,0.8664,0.2839,0.0372,0.9657,0.7162,0.9378,,,,,,,,
,,,,,White,1.5548,0.9236,-0.0111,-0.0393,0.9605,0.9878,0.9378,,,,,,,,
,,,,,Average,0.8485,0.897,0.0965,0.0139,0.9602,0.8711,0.9378,,,,,,,,
,,,,,Std,0.5211,0.0212,0.1414,0.0391,0.0083,0.1053,0.0,,,,,,,,
Adult Income,sex,sex,Reweighing,RandomForestClassifier,Female,0.34,0.8309,0.0837,0.0856,0.9142,0.9159,0.9354,"[6514, 685, 1099, 1226]",0.8127,0.5788,0.5273,0.6415,0.4635,0.5273,0.9048
,,,,,Male,2.9414,0.8309,-0.0837,-0.0856,0.9142,0.9159,0.9354,,,,,,,,
,,,,,Average,1.6407,0.8309,0.0,0.0,0.9142,0.9159,0.9354,,,,,,,,
,,,,,Std,1.3007,0.0,0.0837,0.0856,0.0,0.0,0.0,,,,,,,,
,,,,XGBClassifier,Female,0.608,0.9131,-0.0943,0.0166,0.9832,0.9067,0.9564,"[9955, 835, 1578, 1919]",0.8311,0.614,0.5488,0.6968,0.5138,0.5488,0.9226
,,,,,Male,1.6447,0.9131,0.0943,-0.0166,0.9832,0.9067,0.9564,,,,,,,,
,,,,,Average,1.1264,0.9131,0.0,0.0,0.9832,0.9067,0.9564,,,,,,,,
,,,,,Std,0.5184,0.0,0.0943,0.0166,0.0,0.0,0.0,,,,,,,,
